x,y_obs,weight,y_calc,y_bkg,Q
47.2873,0.314583,1,0.302355,0.300264,3.27147
47.3075,0.308333,1,0.302347,0.300246,3.27279
47.3278,0.3,1,0.302339,0.300229,3.27411
47.348,0.330208,1,0.302331,0.300211,3.27543
47.3682,0.315625,1,0.302324,0.300195,3.27675
47.3884,0.348958,1,0.302318,0.300178,3.27807
47.4087,0.357292,1,0.302312,0.300163,3.27939
47.4289,0.325,1,0.302307,0.300147,3.2807
47.4491,0.329167,1,0.302303,0.300132,3.28202
47.4693,0.382292,1,0.302299,0.300118,3.28334
47.4896,0.386458,1,0.302295,0.300104,3.28466
47.5098,0.354167,1,0.302293,0.30009,3.28598
47.53,0.342708,1,0.30229,0.300077,3.28729
47.5502,0.365625,1,0.302289,0.300064,3.28861
47.5705,0.297917,1,0.302288,0.300052,3.28993
47.5907,0.332292,1,0.302287,0.30004,3.29125
47.6109,0.323958,1,0.302287,0.300028,3.29256
47.6311,0.341667,1,0.302288,0.300017,3.29388
47.6514,0.329167,1,0.301975,0.300007,3.2952
47.6716,0.353125,1,0.301978,0.299996,3.29652
47.6918,0.322917,1,0.301982,0.299987,3.29783
47.712,0.333333,1,0.301986,0.299977,3.29915
47.7323,0.313542,1,0.301991,0.299968,3.30047
47.7525,0.307292,1,0.301839,0.29996,3.30178
47.7727,0.329167,1,0.301846,0.299952,3.3031
47.793,0.317708,1,0.301853,0.299944,3.30442
47.8132,0.326042,1,0.301861,0.299937,3.30573
47.8334,0.326042,1,0.301869,0.29993,3.30705
47.8536,0.29375,1,0.301878,0.299923,3.30836
47.8739,0.294792,1,0.301888,0.299917,3.30968
47.8941,0.315625,1,0.301898,0.299912,3.311
47.9143,0.327083,1,0.301909,0.299907,3.31231
47.9345,0.298958,1,0.30192,0.299902,3.31363
47.9548,0.3375,1,0.301932,0.299898,3.31494
47.975,0.316667,1,0.301945,0.299894,3.31626
47.9952,0.302083,1,0.301958,0.29989,3.31757
48.0154,0.315625,1,0.301972,0.299887,3.31889
48.0357,0.334375,1,0.301986,0.299885,3.32021
48.0559,0.326042,1,0.302002,0.299882,3.32152
48.0761,0.31875,1,0.302017,0.29988,3.32284
48.0963,0.326042,1,0.302034,0.299879,3.32415
48.1166,0.329167,1,0.302051,0.299878,3.32547
48.1368,0.307292,1,0.302068,0.299878,3.32678
48.157,0.347917,1,0.302087,0.299877,3.32809
48.1772,0.302083,1,0.302106,0.299878,3.32941
48.1975,0.282292,1,0.302125,0.299878,3.33072
48.2177,0.277083,1,0.302146,0.299879,3.33204
48.2379,0.298958,1,0.302167,0.299881,3.33335
48.2582,0.292708,1,0.302188,0.299883,3.33467
48.2784,0.3125,1,0.302211,0.299885,3.33598
48.2986,0.315625,1,0.302233,0.299888,3.33729
48.3188,0.325,1,0.302257,0.299891,3.33861
48.3391,0.31875,1,0.302281,0.299895,3.33992
48.3593,0.298958,1,0.302306,0.299899,3.34123
48.3795,0.284375,1,0.302332,0.299903,3.34255
48.3997,0.315625,1,0.302358,0.299908,3.34386
48.42,0.329167,1,0.302385,0.299913,3.34517
48.4402,0.316667,1,0.302413,0.299918,3.34649
48.4604,0.30625,1,0.302442,0.299924,3.3478
48.4806,0.319792,1,0.302471,0.299931,3.34911
48.5009,0.315625,1,0.302501,0.299938,3.35043
48.5211,0.329167,1,0.302531,0.299945,3.35174
48.5413,0.308333,1,0.302563,0.299952,3.35305
48.5615,0.301042,1,0.302595,0.29996,3.35436
48.5818,0.284375,1,0.302628,0.299969,3.35568
48.602,0.304167,1,0.302661,0.299978,3.35699
48.6222,0.325,1,0.302695,0.299987,3.3583
48.6424,0.322917,1,0.30273,0.299996,3.35961
48.6627,0.309375,1,0.302766,0.300006,3.36093
48.6829,0.320833,1,0.302803,0.300017,3.36224
48.7031,0.314583,1,0.30284,0.300027,3.36355
48.7234,0.342708,1,0.302878,0.300039,3.36486
48.7436,0.285417,1,0.302917,0.30005,3.36617
